algo2,algo1,minisat
,,
V = ,5,
,,
25,129,249
11,121,210
13,121,449
12,122,203
13,131,467
13,119,436
17,131,649
9,136,450
12,119,216
14,70,205
,,
V = ,6,
,,
15,169,606
22,129,519
18,128,501
16,122,512
18,121,510
18,136,352
12,126,523
14,124,517
17,121,537
18,171,758
,,
V = ,7,
,,
17,174,2372
18,176,592
22,183,2233
16,129,653
19,122,608
18,174,2569
20,131,2715
11,129,838
15,121,608
22,173,595
,,
V = ,8,
,,
26,227,1895
28,227,2900
19,179,2023
25,184,6911
24,132,1849
18,173,16846
26,183,2128
25,196,2277
15,127,1958
26,179,22672
,,
V = ,9,
,,
28,230,15009
45,228,2043
14,231,4452
27,181,2620
29,186,2193
13,134,4588
25,169,3114
27,178,3191
27,241,1808
27,225,19460
,,
V = ,10,
,,
31,232,72066
29,233,37886
17,237,14026
30,271,16125
30,258,11626
30,282,11521
31,231,11039
19,240,13085
32,197,287009
31,182,15985
,,
V = ,11,
,,
19,245,248762
24,243,59430
32,225,262570
39,245,646555
30,229,13222
20,248,10426
34,241,182191
18,250,243529
18,251,57434
33,240,33979
,,
V = ,12,
,,
24,240,446221
21,228,18027
34,247,102775
19,244,13351
26,291,657009
35,293,796799
32,295,348496
18,273,133781
32,239,49804
18,299,18215
,,
V = ,13,
,,
36,340,3.00E+06
34,291,2.91E+06
34,302,18547
38,282,3.11E+06
26,294,2.90E+06
37,290,613830
35,233,20487
36,347,158896
37,232,212619
34,245,841995
,,
V = ,14,
,,
37,301,1.84E+06
40,282,1.61E+06
43,302,1.31E+06
24,287,-1
34,236,20320
26,368,1.44E+06
21,307,1.20E+06
41,364,-1
38,306,1.17E+06
24,354,1.17E+06
,,
V = ,15,
,,
28,344,5.23E+06
22,347,1.07E+07
23,299,3.41E+06
23,347,3.28E+06
23,347,-1
46,357,1.84E+06
41,336,-1
26,365,-1
28,348,156149
42,354,-1
,,
V = ,16,
,,
30,363,1.27E+07
44,390,-1
27,357,-1
46,348,-1
26,359,-1
29,290,-1
45,298,-1
37,328,1.48E+06
28,399,-1
29,376,-1
